Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size;ticker_incr;ticker_clingo
10;0.001026;0.006285667419433594;0.009664535522460938;0.00731166741943359;0.0106905355224609;0.021017;0.0497939586639404;0.0676984786987305;0.0708109586639404;0.0887154786987305;0.000966;0.004622697830200195;0.012617349624633789;0.0055886978302002;0.0135833496246338;0.020051;0.0567371845245361;0.113408803939819;0.0767881845245361;0.133459803939819;7904;7468;51;68;4.945835834;5.306501151
11;0.000947;0.007463932037353516;0.009372234344482422;0.00841093203735352;0.0103192343444824;0.021964;0.0572578907012939;0.0770707130432129;0.0792218907012939;0.0990347130432129;0.000977;0.004714250564575195;0.008804082870483398;0.0056912505645752;0.0097810828704834;0.021028;0.0614514350891113;0.122212886810303;0.0824794350891113;0.143240886810303;7904;7468;51;69;4.979592628;6.221212363
12;0.0058;0.004968881607055664;0.006174325942993164;0.0107688816070557;0.0119743259429932;0.027764;0.0622267723083496;0.0832450389862061;0.0899907723083496;0.111009038986206;0.005913;0.00600743293762207;0.013882637023925781;0.0119204329376221;0.0197956370239258;0.026941;0.0674588680267334;0.136095523834229;0.0943998680267334;0.163036523834229;8432;7728;69;97;4.992976062;7.120081742
13;0.000988;0.005800962448120117;0.011359691619873047;0.00678896244812012;0.012347691619873;0.028752;0.0680277347564697;0.0946047306060791;0.0967797347564697;0.123356730606079;0.00102;0.0048787593841552734;0.016657590866088867;0.00589875938415527;0.0176775908660889;0.027961;0.0723376274108887;0.152753114700317;0.100298627410889;0.180714114700317;8664;7868;74;97;5.016094559;7.561944163
14;0.001025;0.0047876834869384766;0.010037899017333984;0.00581268348693848;0.011062899017334;0.029777;0.0728154182434082;0.104642629623413;0.102592418243408;0.134419629623413;0.001003;0.0060193538665771484;0.013573408126831055;0.00702235386657715;0.0145764081268311;0.028964;0.0783569812774658;0.166326522827148;0.107320981277466;0.195290522827148;8664;7868;74;97;5.04361081;8.014678182
15;0.001027;0.004473447799682617;0.015279531478881836;0.00550044779968262;0.0163065314788818;0.030804;0.0772888660430908;0.119922161102295;0.108092866043091;0.150726161102295;0.001016;0.006117343902587891;0.017029285430908203;0.00713334390258789;0.0180452854309082;0.02998;0.0844743251800537;0.183355808258057;0.114454325180054;0.213335808258057;8664;7868;74;97;5.064714659;8.900504478
16;0.00104;0.004388093948364258;0.00939178466796875;0.00542809394836426;0.0104317846679687;0.031844;0.0816769599914551;0.129313945770264;0.113520959991455;0.161157945770264;0.000983;0.006616830825805664;0.015462636947631836;0.00759983082580566;0.0164456369476318;0.030963;0.0910911560058594;0.198818445205688;0.122054156005859;0.229781445205688;8664;7868;74;97;5.089327958;9.333432791
17;0.001015;0.0055544376373291016;0.010141611099243164;0.0065694376373291;0.0111566110992432;0.032859;0.0872313976287842;0.139455556869507;0.120090397628784;0.172314556869507;0.001015;0.00487971305847168;0.01710200309753418;0.00589471305847168;0.0181170030975342;0.031978;0.0959708690643311;0.215920448303223;0.127948869064331;0.247898448303223;8664;7868;74;97;5.102573623;10.248636665
18;0.001089;0.004496574401855469;0.012260198593139648;0.00558557440185547;0.0133491985931396;0.033948;0.0917279720306396;0.151715755462646;0.12567597203064;0.185663755462646;0.001005;0.006317853927612305;0.015711069107055664;0.0073228539276123;0.0167160691070557;0.032983;0.102288722991943;0.231631517410278;0.135271722991943;0.264614517410278;8664;7868;79;98;5.11522365;11.181090539
19;0.001061;0.005795717239379883;0.00865483283996582;0.00685671723937988;0.00971583283996582;0.035009;0.0975236892700195;0.160370588302612;0.13253268927002;0.195379588302612;0.001025;0.0061032772064208984;0.017536401748657227;0.0071282772064209;0.0185614017486572;0.034008;0.108392000198364;0.249167919158936;0.142400000198364;0.283175919158936;8664;7868;79;98;5.128964367;12.046449314
20;0.001035;0.004604816436767578;0.012325525283813477;0.00563981643676758;0.0133605252838135;0.036044;0.102128505706787;0.172696113586426;0.138172505706787;0.208740113586426;0.001002;0.007235050201416016;0.014221429824829102;0.00823705020141602;0.0152234298248291;0.03501;0.11562705039978;0.263389348983765;0.15063705039978;0.298399348983765;8664;7868;80;98;5.157341467;12.925893017
21;0.001044;0.0055446624755859375;0.01081395149230957;0.00658866247558594;0.0118579514923096;0.037088;0.107673168182373;0.183510065078735;0.144761168182373;0.220598065078735;0.001051;0.0074176788330078125;0.015266180038452148;0.00846867883300781;0.0163171800384521;0.036061;0.123044729232788;0.278655529022217;0.159105729232788;0.314716529022217;8664;7868;80;98;5.168161751;13.790539046
22;0.001051;0.006908893585205078;0.00964808464050293;0.00795989358520508;0.0106990846405029;0.038139;0.114582061767578;0.193158149719238;0.152721061767578;0.231297149719238;0.001045;0.006228446960449219;0.015263080596923828;0.00727344696044922;0.0163080805969238;0.037106;0.129273176193237;0.293918609619141;0.166379176193237;0.331024609619141;8664;7868;80;98;5.188825493;14.650016272
23;0.001021;0.004639387130737305;0.012334108352661133;0.0056603871307373;0.0133551083526611;0.03916;0.119221448898315;0.205492258071899;0.158381448898315;0.244652258071899;0.00102;0.006844520568847656;0.015399694442749023;0.00786452056884766;0.016419694442749;0.038126;0.136117696762085;0.30931830406189;0.174243696762085;0.34744430406189;8664;7868;80;98;5.198907489;15.597409394
24;0.001031;0.00466465950012207;0.014365673065185547;0.00569565950012207;0.0153966730651855;0.040191;0.123886108398438;0.219857931137085;0.164077108398438;0.260048931137085;0.001015;0.007153749465942383;0.014194011688232422;0.00816874946594238;0.0152090116882324;0.039141;0.143271446228027;0.323512315750122;0.182412446228027;0.362653315750122;8664;7868;80;98;5.208858709;16.456244919
25;0.000989;0.0058193206787109375;0.011053085327148438;0.00680832067871094;0.0120420853271484;0.04118;0.129705429077148;0.230911016464233;0.170885429077148;0.272091016464233;0.001005;0.006541013717651367;0.014552593231201172;0.00754601371765137;0.0155575932312012;0.040146;0.149812459945679;0.338064908981323;0.189958459945679;0.378210908981323;8664;7868;80;99;5.22681295;17.325506014
26;0.001006;0.005904436111450195;0.009702444076538086;0.0069104361114502;0.0107084440765381;0.042186;0.135609865188599;0.240613460540771;0.177795865188599;0.282799460540771;0.001012;0.0058078765869140625;0.01595139503479004;0.00681987658691406;0.01696339503479;0.041158;0.155620336532593;0.354016304016113;0.196778336532593;0.395174304016113;8664;7868;80;99;5.241854403;18.182205527
27;0.001066;0.004764080047607422;0.010069847106933594;0.00583008004760742;0.0111358471069336;0.043252;0.140373945236206;0.250683307647705;0.183625945236206;0.293935307647705;0.000995;0.006264925003051758;0.017919540405273438;0.00725992500305176;0.0189145404052734;0.042153;0.161885261535645;0.371935844421387;0.204038261535645;0.414088844421387;8664;7868;80;99;5.265559158;19.035835963
28;0.000998;0.004647254943847656;0.010718584060668945;0.00564525494384766;0.0117165840606689;0.04425;0.145021200180054;0.261401891708374;0.189271200180054;0.305651891708374;0.001032;0.007280111312866211;0.01706075668334961;0.00831211131286621;0.0180927566833496;0.043185;0.169165372848511;0.388996601104736;0.212350372848511;0.432181601104736;8664;7868;80;99;5.280304919;19.916988838
