Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size
0;74.9446;1.4298248291015625;1.444200038909912;76.3744248291016;76.3888000389099;74.9446;1.42982482910156;1.44420003890991;76.3744248291016;76.3888000389099;70.6571;2.4312822818756104;8.63331389427185;73.0883822818756;79.2904138942719;70.6571;2.43128228187561;8.63331389427185;73.0883822818756;79.2904138942719;2155276;1009908;52210;119814
1;0.190672;1.5370230674743652;1.6413805484771729;1.72769506747437;1.83205254847717;75.135272;2.96684789657593;3.08558058738708;78.1021198965759;78.2208525873871;0.146675;2.4333760738372803;8.81129503250122;2.58005107383728;8.95797003250122;70.803775;4.86465835571289;17.4446089267731;75.6684333557129;88.2483839267731;2155436;1009908;52923;119819
2;0.018722;1.579127550125122;1.6599657535552979;1.59784955012512;1.6786877535553;75.153994;4.54597544670105;4.74554634094238;79.699969446701;79.8995403409424;0.01231;2.364961862564087;8.82539987564087;2.37727186256409;8.83770987564087;70.816085;7.22962021827698;26.2700088024139;78.045705218277;97.0860938024139;2155436;1009908;52925;119823
3;0.013512;1.5872678756713867;1.5916509628295898;1.60077987567139;1.60516296282959;75.167506;6.13324332237244;6.33719730377197;81.3007493223724;81.504703303772;0.016145;2.4418978691101074;8.824971914291382;2.45804286911011;8.84111691429138;70.83223;9.67151808738708;35.0949807167053;80.5037480873871;105.927210716705;2155456;1009908;52927;119827
4;0.016975;1.546147346496582;1.6419835090637207;1.56312234649658;1.65895850906372;75.184481;7.67939066886902;7.97918081283569;82.863871668869;83.1636618128357;0.020653;2.4340479373931885;8.85539698600769;2.45470093739319;8.87604998600769;70.852883;12.1055660247803;43.950377702713;82.9584490247803;114.803260702713;2155456;1009908;52931;119835
5;0.018671;1.5736427307128906;1.628105640411377;1.59231373071289;1.64677664041138;75.203152;9.25303339958191;9.60728645324707;84.4561853995819;84.8104384532471;0.022123;2.382493734359741;8.91262674331665;2.40461673435974;8.93474974331665;70.875006;14.48805975914;52.8630044460297;85.36306575914;123.73801044603;2155460;1009908;52931;119841
6;0.020194;1.5529117584228516;1.6629815101623535;1.57310575842285;1.68317551016235;75.223346;10.8059451580048;11.2702679634094;86.0292911580048;86.4936139634094;0.023613;2.382267951965332;8.800127267837524;2.40588095196533;8.82374026783752;70.898619;16.8703277111053;61.6631317138672;87.7689467111053;132.561750713867;2155460;1009908;52932;119847
7;0.048545;1.606231451034546;1.641714334487915;1.65477645103455;1.69025933448792;75.271891;12.4121766090393;12.9119822978973;87.6840676090393;88.1838732978973;0.044058;2.392096996307373;8.791011810302734;2.43615499630737;8.83506981030273;70.942677;19.2624247074127;70.4541435241699;90.2051017074127;141.39682052417;2155464;1009908;52936;119853
8;0.008887;1.607529640197754;1.6966800689697266;1.61641664019775;1.70556706896973;75.280778;14.0197062492371;14.6086623668671;89.3004842492371;89.8894403668671;0.009697;2.493150234222412;8.74936294555664;2.50284723422241;8.75905994555664;70.952374;21.7555749416351;79.2035064697266;92.7079489416351;150.155880469727;2155468;1009908;52933;119861
9;0.009107;1.578932523727417;1.6286585330963135;1.58803952372742;1.63776553309631;75.289885;15.5986387729645;16.2373208999634;90.8885237729645;91.5272058999634;0.011103;2.4430510997772217;8.890313148498535;2.45415409977722;8.90141614849854;70.963477;24.1986260414124;88.0938196182251;95.1621030414124;159.057296618225;2155468;1009908;52934;119869
