Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size
0;17.0025;0.43808603286743164;0.4781525135040283;17.4405860328674;17.480652513504;17.0025;0.438086032867432;0.478152513504028;17.4405860328674;17.480652513504;15.9876;0.9129323959350586;3.49613356590271;16.9005323959351;19.4837335659027;15.9876;0.912932395935059;3.49613356590271;16.9005323959351;19.4837335659027;677796;356464;14492;33980
1;0.074037;0.5137753486633301;0.5706579685211182;0.58781234866333;0.644694968521118;17.076537;0.951861381530762;1.04881048202515;18.0283983815308;18.1253474820251;0.05266;0.8890597820281982;3.4935808181762695;0.941719782028198;3.54624081817627;16.04026;1.80199217796326;6.98971438407898;17.8422521779633;23.029974384079;678012;356464;14861;33982
2;0.006293;0.5174546241760254;0.7163844108581543;0.523747624176025;0.722677410858154;17.08283;1.46931600570679;1.7651948928833;18.5521460057068;18.8480248928833;0.004874;0.782947301864624;4.010075330734253;0.787821301864624;4.01494933073425;16.045134;2.58493947982788;10.9997897148132;18.6300734798279;27.0449237148132;678016;356464;14862;33983
3;0.006721;0.515559196472168;0.7201855182647705;0.522280196472168;0.72690651826477;17.089551;1.98487520217896;2.48538041114807;19.074426202179;19.5749314111481;0.005813;0.8827915191650391;3.4369890689849854;0.888604519165039;3.44280206898499;16.050947;3.46773099899292;14.4367787837982;19.5186779989929;30.4877257837982;678016;356464;14863;33985
4;0.007129;0.5144896507263184;0.718524694442749;0.521618650726318;0.725653694442749;17.09668;2.49936485290527;3.20390510559082;19.5960448529053;20.3005851055908;0.007563;0.7981812953948975;3.4757144451141357;0.805744295394897;3.48327744511414;16.05851;4.26591229438782;17.9124932289124;20.3244222943878;33.9710032289124;678016;356464;14865;33989
5;0.010839;0.5191574096679688;0.5807907581329346;0.529996409667969;0.591629758132935;17.107519;3.01852226257324;3.78469586372375;20.1260412625732;20.8922148637238;0.008268;0.7937297821044922;3.479731321334839;0.801997782104492;3.48799932133484;16.066778;5.05964207649231;21.3922245502472;21.1264200764923;37.4590025502472;678020;356464;14865;33991
6;0.008035;0.5949370861053467;0.7165091037750244;0.602972086105347;0.724544103775024;17.115554;3.61345934867859;4.50120496749878;20.7290133486786;21.6167589674988;0.008691;0.8854086399078369;3.4237489700317383;0.894099639907837;3.43243997003174;16.075469;5.94505071640015;24.8159735202789;22.0205197164001;40.8914425202789;678020;356464;14865;33994
7;0.021896;0.5970392227172852;0.5763962268829346;0.618935222717285;0.598292226882935;17.13745;4.21049857139587;5.07760119438171;21.3479485713959;22.2150511943817;0.01924;0.8876223564147949;3.4887373447418213;0.906862356414795;3.50797734474182;16.094709;6.83267307281494;28.3047108650208;22.9273820728149;44.3994198650207;678884;357256;14867;33997
8;0.003773;0.5129454135894775;0.5839929580688477;0.516718413589478;0.587765958068848;17.141223;4.72344398498535;5.66159415245056;21.8646669849854;22.8028171524506;0.004251;0.8774468898773193;3.4508488178253174;0.881697889877319;3.45509981782532;16.09896;7.71011996269226;31.7555596828461;23.8090799626923;47.8545196828461;679008;357520;14866;34000
9;0.004242;0.5906798839569092;0.5741097927093506;0.594921883956909;0.578351792709351;17.145465;5.31412386894226;6.23570394515991;22.4595888689423;23.3811689451599;0.005051;0.7915425300598145;3.4941086769104004;0.796593530059814;3.4991596769104;16.104011;8.50166249275208;35.2496683597565;24.6056734927521;51.3536793597565;679012;357520;14866;34003
