Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size
0;1.85423;0.06178426742553711;0.07326936721801758;1.91601426742554;1.92749936721802;1.85423;0.0617842674255371;0.0732693672180176;1.91601426742554;1.92749936721802;1.73005;0.13426446914672852;0.5414350032806396;1.86431446914673;2.27148500328064;1.73005;0.134264469146729;0.54143500328064;1.86431446914673;2.27148500328064;107432;67424;1758;4186
1;0.006505;0.0894770622253418;0.10131359100341797;0.0959820622253418;0.107818591003418;1.860735;0.151261329650879;0.174582958221436;2.01199632965088;2.03531795822144;0.005567;0.12307286262512207;0.5435168743133545;0.128639862625122;0.549083874313354;1.735617;0.257337331771851;1.08495187759399;1.99295433177185;2.82056887759399;107432;67424;1876;4187
2;0.001258;0.09086346626281738;0.10238814353942871;0.0921214662628174;0.103646143539429;1.861993;0.242124795913696;0.276971101760864;2.1041177959137;2.13896410176086;0.000988;0.1242227554321289;0.5401065349578857;0.125210755432129;0.541094534957886;1.736605;0.381560087203979;1.62505841255188;2.11816508720398;3.36166341255188;107432;67424;1876;4187
3;0.001439;0.08698606491088867;0.10257744789123535;0.0884250649108887;0.104016447891235;1.863432;0.329110860824585;0.3795485496521;2.19254286082458;2.2429805496521;0.00117;0.1354377269744873;0.54465651512146;0.136607726974487;0.54582651512146;1.737775;0.516997814178467;2.16971492767334;2.25477281417847;3.90748992767334;107432;67424;1876;4187
4;0.001945;0.08734345436096191;0.12192511558532715;0.0892884543609619;0.123870115585327;1.865377;0.416454315185547;0.501473665237427;2.28183131518555;2.36685066523743;0.001852;0.1315443515777588;0.5328409671783447;0.133396351577759;0.534692967178345;1.739627;0.648542165756226;2.70255589485168;2.38816916575623;4.44218289485169;107432;67424;1877;4187
5;0.002012;0.08585882186889648;0.10414838790893555;0.0878708218688965;0.106160387908936;1.867389;0.502313137054443;0.605622053146362;2.36970213705444;2.47301105314636;0.001985;0.12556195259094238;0.5419981479644775;0.127546952590942;0.543983147964478;1.741612;0.774104118347168;3.24455404281616;2.51571611834717;4.98616604281616;107432;67424;1877;4188
6;0.001986;0.0897514820098877;0.1216590404510498;0.0917374820098877;0.12364504045105;1.869375;0.592064619064331;0.727281093597412;2.46143961906433;2.59665609359741;0.001961;0.12604665756225586;0.5411756038665771;0.128007657562256;0.543136603866577;1.743573;0.900150775909424;3.78572964668274;2.64372377590942;5.52930264668274;107432;67424;1877;4188
7;0.004798;0.0862581729888916;0.11988329887390137;0.0910561729888916;0.124681298873901;1.874173;0.678322792053223;0.847164392471313;2.55249579205322;2.72133739247131;0.004536;0.12766551971435547;0.5403120517730713;0.132201519714355;0.544848051773071;1.748109;1.02781629562378;4.32604169845581;2.77592529562378;6.07415069845581;107432;67424;1877;4188
8;0.001197;0.08814668655395508;0.10402250289916992;0.0893436865539551;0.10521950289917;1.87537;0.766469478607178;0.951186895370483;2.64183947860718;2.82655689537048;0.000933;0.1341240406036377;0.5389180183410645;0.135057040603638;0.539851018341064;1.749042;1.16194033622742;4.86495971679688;2.91098233622742;6.61400171679688;107432;67424;1877;4188
9;0.001321;0.08975648880004883;0.10266995429992676;0.0910774888000488;0.103990954299927;1.876691;0.856225967407227;1.05385684967041;2.73291696740723;2.93054784967041;0.001029;0.12321925163269043;0.5451102256774902;0.12424825163269;0.54613922567749;1.750071;1.28515958786011;5.41006994247437;3.03523058786011;7.16014094247437;107432;67424;1877;4189
